source_type|source_id|target_type|target_id|label|source|source_url
gene|ensg00000101349|transcript|enst00000353224|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000101349|transcript|enst00000378423|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000101349|transcript|enst00000378429|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000286740|transcript|enst00000657954|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000232738|transcript|enst00000428769|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000286470|transcript|enst00000656748|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000243961|transcript|enst00000449270|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000132623|transcript|enst00000437504|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000132623|transcript|enst00000378392|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000132623|transcript|enst00000378380|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000132623|transcript|enst00000488991|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000655841|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000658520|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000603245|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000661614|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000663466|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000670580|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000664172|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000658443|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000666905|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000603542|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000662559|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000661134|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000655307|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000660550|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000667042|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000671416|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000438646|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000656496|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000421143|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000426491|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000605592|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000451151|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000671453|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000692436|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000453544|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000227906|transcript|enst00000701361|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
gene|ensg00000276525|transcript|enst00000614195|transcribed_to|GENCODE|https://www.gencodegenes.org/human/
